k,I,E_I,z_norm,p_norm,p_sim,p_z_sim,moran_res_spreg_z,moran_res_spreg_p
2,-0.2002,-0.0066,-2.7532,0.0059,0.002,0.0029,-2.4206,0.0155
3,-0.0922,-0.0066,-1.4655,0.1428,0.063,0.0712,-1.0345,0.3009
4,-0.0713,-0.0066,-1.2801,0.2005,0.097,0.0995,-0.7849,0.4325
5,-0.0536,-0.0066,-1.0325,0.3018,0.159,0.1522,-0.4482,0.654
6,-0.0547,-0.0066,-1.1552,0.248,0.13,0.1244,-0.5305,0.5958
8,-0.0465,-0.0066,-1.1062,0.2686,0.131,0.1305,-0.3755,0.7073
10,-0.0496,-0.0066,-1.3245,0.1853,0.082,0.0929,-0.5581,0.5768
12,-0.0378,-0.0066,-1.05,0.2937,0.143,0.143,-0.1241,0.9012
15,-0.0412,-0.0066,-1.295,0.1953,0.075,0.0942,-0.3525,0.7245
20,-0.039,-0.0066,-1.3842,0.1663,0.049,0.0802,-0.3456,0.7297
